	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
SRR1922792	996	1079	981	973	1000	997	1001	996	996	995	0	994	998	1004	996	997	998	996	1058	997	996	996	996	996	1534	1272	998	996	300	160	1501	1071	996	974	1011	995	973	1068	999	1068	995	995	998	996	1004	996	1064	972	997	997	998	973	1082	995	1045	996	996	1071	995	1043	995	998	997	995	996	997	999	996	997	997	997	1002	997	11	997	999	995	1023	1000	995	994	1001	1001	997	997	1079	996	996	995	996	1069	996	999	999	969	1217	996	997	1011	996	996	996	996	997	989	1017	995	1009	1063	1528	973	996	997	997	999	996	999	997	996	160	1459	993	997	994	997	999	1028	997	976	997	997	997	1127	972	977	998	1063	996	996	996	165	1515	997	997	997	974	999	996	996	997	975	996	993	996	1003	1005	993	996	1006	973
ERR1414031	2	1115	1013	1006	578	266	63	3	5	2	994	0	4	839	3	9	5	3	1082	3	2	2	2	1001	1535	1047	5	3	999	988	1507	1087	5	1007	90	3	1008	1107	580	1110	2	3	4	3	67	2	1104	1008	38	3	6	1008	1127	2	1093	3	2	1108	4	1083	2	34	4	8	5	3	44	1002	36	3	8	842	3	996	3	838	5	864	38	1	5	31	67	38	3	1129	3	5	5	2	1109	3	578	5	1005	1260	3	4	842	577	2	2	4	3	999	851	2	586	1103	1531	1008	3	5	6	842	2	7	5	2	986	1473	5	5	6	4	839	1086	5	1008	37	3	7	1145	1006	1009	4	1103	24	3	577	986	1518	36	3	3	1007	36	2	3	3	1009	4	1000	4	836	580	5	2	837	1008
ERR1414082	2	1115	1012	1005	580	266	63	3	3	4	998	4	0	839	3	7	1	3	1083	1	2	2	2	1000	1535	1047	1	3	1003	988	1507	1086	5	1006	90	5	1009	1107	579	1111	4	3	2	3	67	2	1103	1008	38	1	4	1009	1127	4	1094	5	2	1106	6	1084	4	34	2	6	5	3	42	1001	36	3	6	842	1	996	1	842	5	864	37	3	7	31	67	36	1	1130	3	5	5	2	1109	3	579	3	1003	1259	3	2	840	579	2	2	4	3	998	851	4	587	1103	1531	1006	3	3	6	842	2	5	3	2	988	1473	7	5	6	4	843	1087	3	1007	37	1	3	1146	1007	1007	4	1102	24	3	581	988	1518	36	1	3	1005	33	2	3	1	1008	4	999	4	838	579	7	2	835	1008
ERR1414001	839	1094	862	855	822	726	856	839	839	840	1004	839	839	0	837	842	840	838	1065	838	837	837	837	1007	1533	1201	839	837	1002	992	1499	1080	839	858	869	839	861	1090	822	1095	838	838	839	837	861	837	1085	862	840	838	839	865	1076	838	1068	839	837	1088	841	1062	840	840	838	843	840	838	842	1005	840	838	840	35	840	1000	838	37	840	151	843	838	840	841	860	842	838	1106	840	839	840	839	1090	837	821	840	861	1244	840	840	91	821	837	839	836	838	1002	116	839	828	1084	1527	858	839	840	839	42	837	839	841	837	992	1474	842	841	842	840	35	1040	838	863	842	838	840	1125	858	859	838	1083	852	837	823	995	1515	840	838	838	856	842	839	840	838	856	841	1005	840	85	826	841	839	81	864
ERR1414016	3	1114	1011	1004	578	265	64	4	2	5	996	3	3	837	0	10	4	2	1081	2	1	1	1	999	1535	1048	2	0	1001	986	1507	1085	6	1007	91	4	1008	1106	578	1110	3	2	3	2	68	1	1104	1008	37	2	3	1010	1124	3	1092	4	1	1107	7	1082	5	33	3	9	6	2	41	1000	35	2	7	840	4	994	2	840	6	862	37	2	6	30	68	37	2	1128	4	4	6	3	1108	0	577	4	1005	1260	4	5	842	577	1	3	3	2	997	849	3	585	1102	1531	1006	4	6	7	844	1	4	4	1	986	1473	8	6	9	5	841	1085	2	1008	38	2	6	1144	1006	1008	3	1102	25	2	579	988	1518	35	2	2	1005	33	3	4	2	1007	5	998	5	838	579	6	3	835	1010
ERR1414095	7	1116	1013	1006	582	271	56	8	10	7	997	9	7	842	10	0	8	10	1085	8	9	9	9	1002	1535	1040	8	10	1003	990	1507	1088	10	1007	89	12	1010	1108	580	1112	7	8	9	8	64	9	1103	1008	43	8	11	1006	1129	11	1096	10	9	1107	5	1086	9	41	7	5	6	10	45	1003	43	10	5	845	6	998	8	842	8	867	44	10	6	38	62	43	8	1132	10	10	12	7	1110	10	581	10	1001	1257	10	9	839	581	9	9	10	10	1000	854	11	589	1104	1531	1007	8	6	7	839	9	10	10	9	990	1473	8	12	7	9	844	1089	10	1007	42	8	6	1148	1008	1008	9	1103	17	8	580	987	1518	43	8	10	1006	40	9	10	8	1009	11	1001	9	838	581	8	7	838	1007
ERR1414040	3	1115	1012	1005	581	267	62	4	4	5	998	5	1	840	4	8	0	2	1083	2	3	3	3	1000	1535	1046	2	4	1002	988	1507	1086	6	1006	91	6	1008	1107	580	1111	5	4	3	4	66	3	1102	1008	39	2	5	1009	1127	5	1093	6	3	1106	7	1084	5	35	3	7	6	4	41	1001	37	4	7	843	2	996	2	843	6	865	38	4	8	32	66	37	2	1130	4	6	6	3	1109	4	580	4	1003	1259	4	3	839	580	3	3	5	4	998	852	3	588	1103	1531	1006	4	4	7	843	3	6	4	3	988	1473	8	6	7	5	844	1087	4	1007	38	2	4	1146	1007	1007	5	1102	23	4	582	988	1518	37	2	4	1005	34	3	2	2	1008	3	999	3	837	580	8	3	836	1007
ERR1414027	3	1114	1011	1004	579	265	64	4	4	5	996	3	3	838	2	10	2	0	1081	2	1	1	1	999	1535	1048	4	2	1000	986	1507	1085	6	1007	93	4	1007	1106	580	1110	3	2	3	2	68	1	1103	1008	37	2	5	1010	1125	3	1091	4	1	1107	7	1082	5	33	3	9	6	2	41	1000	35	2	9	841	4	994	2	841	6	863	37	2	6	30	68	37	2	1128	4	4	6	3	1108	2	578	4	1005	1261	4	5	841	578	1	3	3	2	997	850	1	586	1102	1531	1006	4	6	7	845	1	6	6	1	986	1473	8	6	9	5	842	1085	4	1008	38	2	6	1144	1006	1008	3	1102	25	2	580	988	1518	35	2	2	1005	35	3	2	2	1007	3	998	3	837	580	6	3	836	1009
ERR024903	1083	1083	1032	1031	1099	1069	1094	1084	1083	1083	1058	1082	1083	1065	1081	1085	1083	1081	0	1082	1081	1081	1081	1065	1532	1305	1083	1081	1055	1045	1500	894	1083	1033	1098	1082	1025	1081	1099	1081	1082	1081	1082	1081	1098	1081	1081	1025	1086	1082	1082	1027	928	1082	374	1081	1081	1083	1083	232	1083	1086	1082	1084	1083	1081	1087	1064	1085	1081	1085	1069	1084	1053	1082	1070	1082	1084	1086	1081	1083	1083	1095	1087	1082	839	1082	1082	1083	1083	1081	1081	1097	1082	1029	1163	1082	1084	1074	1097	1081	1082	1081	1081	1062	1080	1081	1103	1079	1520	1031	1083	1085	1084	1073	1081	1084	1083	1081	1045	1448	1085	1084	1085	1082	1069	840	1083	1027	1086	1082	1084	871	1030	1033	1082	1079	1086	1081	1099	1049	1512	1085	1082	1081	1030	1086	1082	1082	1082	1030	1082	1065	1082	1071	1103	1082	1083	1070	1026
ERR1414007	1	1115	1012	1005	579	265	64	2	2	3	997	3	1	838	2	8	2	2	1082	0	1	1	1	1000	1535	1048	2	2	1002	987	1507	1086	4	1006	91	4	1009	1107	578	1111	3	2	1	2	68	1	1103	1009	37	0	3	1009	1126	3	1093	4	1	1106	7	1083	3	33	1	7	4	2	41	1001	35	2	7	841	2	995	0	841	6	863	37	2	6	30	68	35	0	1129	2	4	4	1	1109	2	578	2	1004	1260	2	3	841	578	1	1	3	2	998	850	3	586	1103	1531	1007	2	4	5	843	1	4	4	1	987	1473	6	4	7	3	842	1086	2	1007	36	0	4	1145	1007	1007	3	1103	25	2	580	987	1518	35	0	2	1006	33	1	2	0	1008	3	999	3	837	578	6	1	834	1009
ERR1414050	2	1114	1011	1004	578	264	65	3	3	4	996	2	2	837	1	9	3	1	1081	1	0	0	0	999	1535	1049	3	1	1001	986	1507	1085	5	1007	92	3	1008	1106	579	1110	2	1	2	1	69	0	1104	1008	36	1	4	1010	1125	2	1092	3	0	1107	6	1082	4	32	2	8	5	1	42	1000	34	1	8	840	3	994	1	840	5	862	36	1	5	29	69	36	1	1128	3	3	5	2	1108	1	577	3	1005	1261	3	4	842	577	0	2	2	1	997	849	2	585	1102	1531	1006	3	5	6	844	0	5	5	0	986	1473	7	5	8	4	841	1085	3	1008	37	1	5	1144	1006	1008	2	1102	26	1	579	988	1518	34	1	1	1005	34	2	3	1	1007	4	998	4	838	579	5	2	835	1010
ERR1414065	2	1114	1011	1004	578	264	65	3	3	4	996	2	2	837	1	9	3	1	1081	1	0	0	0	999	1535	1049	3	1	1001	986	1507	1085	5	1007	92	3	1008	1106	579	1110	2	1	2	1	69	0	1104	1008	36	1	4	1010	1125	2	1092	3	0	1107	6	1082	4	32	2	8	5	1	42	1000	34	1	8	840	3	994	1	840	5	862	36	1	5	29	69	36	1	1128	3	3	5	2	1108	1	577	3	1005	1261	3	4	842	577	0	2	2	1	997	849	2	585	1102	1531	1006	3	5	6	844	0	5	5	0	986	1473	7	5	8	4	841	1085	3	1008	37	1	5	1144	1006	1008	2	1102	26	1	579	988	1518	34	1	1	1005	34	2	3	1	1007	4	998	4	838	579	5	2	835	1010
ERR1414039	2	1114	1011	1004	578	264	65	3	3	4	996	2	2	837	1	9	3	1	1081	1	0	0	0	999	1535	1049	3	1	1001	986	1507	1085	5	1007	92	3	1008	1106	579	1110	2	1	2	1	69	0	1104	1008	36	1	4	1010	1125	2	1092	3	0	1107	6	1082	4	32	2	8	5	1	42	1000	34	1	8	840	3	994	1	840	5	862	36	1	5	29	69	36	1	1128	3	3	5	2	1108	1	577	3	1005	1261	3	4	842	577	0	2	2	1	997	849	2	585	1102	1531	1006	3	5	6	844	0	5	5	0	986	1473	7	5	8	4	841	1085	3	1008	37	1	5	1144	1006	1008	2	1102	26	1	579	988	1518	34	1	1	1005	34	2	3	1	1007	4	998	4	838	579	5	2	835	1010
ERR024923	1001	1101	997	993	1006	994	1013	1001	1001	1002	996	1001	1000	1007	999	1002	1000	999	1065	1000	999	999	999	0	1533	1284	1000	999	1000	979	1499	1074	1001	996	1019	1000	995	1093	1004	1099	1000	999	1000	999	1016	999	1096	996	1004	1000	1002	999	1085	1000	1071	1000	999	1099	1001	1063	1002	1005	1000	1002	1002	999	1005	99	1004	999	1001	1008	1001	991	1000	1010	1000	1022	1003	1000	1001	1001	1015	1006	1000	1098	1001	1000	1001	1001	1095	999	1003	1001	995	1247	1001	1001	1010	1003	999	1001	999	999	81	1021	1000	1005	1094	1528	994	1001	1001	1002	1012	999	1001	1001	999	980	1471	1002	1003	1003	1001	1011	1056	1000	997	1006	1000	1000	1128	995	997	1000	1094	1007	999	1005	984	1517	1004	1000	999	993	1004	1001	1001	1000	995	1001	87	1001	1009	1010	1001	1001	1007	997
ERR024904	1535	1526	1534	1534	1536	1535	1535	1535	1535	1535	1534	1535	1535	1533	1535	1535	1535	1535	1532	1535	1535	1535	1535	1533	0	1508	1535	1535	1529	1534	1508	1517	1535	1534	1528	1535	1534	1531	1536	1529	1535	1535	1535	1535	1536	1535	1534	1534	1535	1535	1534	1534	1528	1535	1524	1535	1535	1534	1535	1532	1535	1535	1535	1535	1535	1535	1535	1534	1535	1535	1535	1533	1535	1534	1535	1533	1535	1528	1535	1535	1535	1532	1535	1535	1535	1527	1535	1535	1535	1535	1532	1535	1536	1535	1534	1518	1535	1535	1533	1536	1535	1535	1535	1535	1533	1529	1535	1533	1534	1063	1534	1535	1535	1535	1533	1535	1535	1535	1535	1534	1527	1535	1535	1535	1535	1533	1530	1535	1534	1535	1535	1535	1529	1534	1534	1535	1534	1535	1535	1536	1534	1083	1535	1535	1535	1534	1535	1535	1535	1535	1533	1535	1533	1535	1533	1536	1535	1535	1533	1534
ERR028208	1047	1279	1277	1277	1159	1045	1025	1046	1046	1045	1272	1047	1047	1201	1048	1040	1046	1048	1305	1048	1049	1049	1049	1284	1508	0	1046	1048	1268	1278	1476	1301	1044	1276	962	1046	1275	1303	1158	1288	1047	1048	1049	1048	1024	1049	1311	1274	1049	1048	1045	1274	1188	1047	1221	1048	1049	1315	1043	1310	1045	1052	1047	1041	1045	1050	1046	1284	1052	1050	1041	1204	1046	1279	1048	1198	1044	1154	1053	1048	1044	1048	1021	1050	1048	1332	1046	1048	1044	1047	1317	1048	1161	1048	1274	1066	1046	1045	1199	1160	1049	1047	1048	1050	1282	1193	1047	1156	1314	1520	1278	1046	1044	1043	1191	1049	1046	1044	1049	1277	1491	1042	1047	1041	1047	1197	1301	1046	1276	1049	1048	1044	1327	1277	1277	1049	1313	1023	1048	1158	1270	1511	1052	1048	1050	1277	1049	1047	1046	1048	1278	1045	1276	1045	1197	1158	1044	1047	1202	1274
ERR1414035	3	1115	1012	1005	580	267	62	4	2	5	998	5	1	839	2	8	2	4	1083	2	3	3	3	1000	1535	1046	0	2	1003	988	1507	1086	6	1006	89	6	1009	1107	578	1111	5	4	3	4	66	3	1103	1008	39	2	3	1009	1126	5	1094	6	3	1106	7	1084	5	35	3	7	6	4	41	1001	37	4	5	842	2	996	2	842	6	864	38	4	8	32	66	37	2	1130	4	6	6	3	1109	2	579	4	1003	1258	4	3	840	579	3	3	5	4	998	851	5	587	1103	1531	1006	4	4	7	842	3	4	2	3	988	1473	8	6	7	5	843	1087	2	1007	38	2	4	1146	1007	1007	5	1102	23	4	581	988	1518	37	2	4	1005	32	3	4	2	1008	5	999	5	838	579	8	3	835	1008
ERR1414033	3	1114	1011	1004	578	265	64	4	2	5	996	3	3	837	0	10	4	2	1081	2	1	1	1	999	1535	1048	2	0	1001	986	1507	1085	6	1007	91	4	1008	1106	578	1110	3	2	3	2	68	1	1104	1008	37	2	3	1010	1124	3	1092	4	1	1107	7	1082	5	33	3	9	6	2	41	1000	35	2	7	840	4	994	2	840	6	862	37	2	6	30	68	37	2	1128	4	4	6	3	1108	0	577	4	1005	1260	4	5	842	577	1	3	3	2	997	849	3	585	1102	1531	1006	4	6	7	844	1	4	4	1	986	1473	8	6	9	5	841	1085	2	1008	38	2	6	1144	1006	1008	3	1102	25	2	579	988	1518	35	2	2	1005	33	3	4	2	1007	5	998	5	838	579	6	3	835	1010
SRR1922797	1001	1081	982	976	1005	999	1009	1001	1003	1000	300	999	1003	1002	1001	1003	1002	1000	1055	1002	1001	1001	1001	1000	1529	1268	1003	1001	0	310	1497	1059	1001	977	1019	999	975	1072	1004	1072	1000	1001	1001	1001	1009	1001	1067	976	1003	1002	1003	977	1084	1000	1037	999	1001	1076	1000	1039	999	1003	1002	1003	1001	1000	1004	1003	1003	1000	1002	1000	1002	303	1002	998	1000	1014	1006	1000	1001	1006	1008	1005	1002	1077	1000	1001	1002	1001	1074	1001	1002	1002	973	1216	1000	1002	1008	1002	1001	1001	1001	1000	996	1011	999	1013	1069	1524	977	1000	1002	1002	1002	1001	1002	1002	1001	312	1462	1001	1002	1002	1000	996	1026	1002	979	1003	1002	1004	1126	976	978	1001	1068	1002	1001	1002	315	1511	1003	1002	1000	977	1005	1001	1000	1002	976	999	998	1000	1000	1009	1001	1001	1003	975
SRR1922796	988	1071	959	953	993	987	998	988	988	989	160	988	988	992	986	990	988	986	1045	987	986	986	986	979	1534	1278	988	986	310	0	1502	1058	988	956	1008	987	957	1060	991	1061	987	986	986	986	999	986	1058	957	986	987	988	959	1072	987	1031	986	986	1063	989	1037	989	987	987	990	988	985	988	984	986	985	989	990	989	157	987	992	988	1009	989	987	988	989	997	988	987	1069	988	986	989	988	1061	986	989	987	953	1225	988	989	1000	990	986	988	986	985	976	1002	987	999	1057	1527	953	988	989	989	995	986	987	989	986	4	1462	990	989	991	987	991	1016	987	960	988	987	989	1115	954	956	986	1057	991	986	991	12	1513	986	987	985	954	988	988	988	987	954	988	979	988	996	997	988	988	994	959
