strain	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
SRR1922792	4063	5639	4462	4462	4433	4207	4090	4062	4062	4062	0	4062	4062	4622	4062	4062	4062	4062	5802	4062	4063	4062	4062	5021	37008	4075	4062	4062	1111	576	20327	6561	4062	4462	4064	4062	4466	5625	4435	5627	4063	4062	4062	4062	4090	4062	5618	4469	4088	4062	4062	4467	6005	4063	5948	4062	4062	5622	4062	5878	4062	4086	4062	4062	4062	4062	4091	5027	4091	4062	4062	4627	4062	6	4062	4626	4062	4635	4087	4062	4063	4077	4090	4090	4062	6775	4062	4062	4062	4062	5625	4062	4428	4062	4456	9648	4062	4063	4609	4434	4062	4062	4062	4062	5011	4631	4062	4423	5620	35951	4469	4062	4062	4062	4623	4063	4062	4062	4062	579	18177	4062	4063	4062	4062	4622	5490	4062	4468	4090	4062	4062	7979	4465	4460	4062	5618	4062	4062	4435	577	36042	4090	4063	4062	4464	4088	4062	4062	4062	4453	4063	5002	4062	4604	4432	4062	4062	4604	4469
ERR1414031	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414082	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414001	2897	5202	3490	3490	3027	2533	2930	2896	2896	2896	4622	2896	2896	0	2896	2896	2896	2896	5575	2896	2897	2896	2896	4687	36567	2701	2896	2896	4596	4523	20316	6223	2896	3490	2898	2896	3494	5188	3029	5190	2897	2896	2896	2896	2928	2896	5181	3497	2926	2896	2896	3495	5738	2897	5704	2896	2896	5185	2896	5601	2896	2924	2896	2896	2896	2896	2929	4689	2929	2896	2896	69	2896	4624	2896	68	2896	163	2927	2896	2897	2911	2928	2928	2896	6422	2896	2896	2896	2896	5188	2896	3022	2896	3484	9550	2896	2897	137	3028	2896	2896	2896	2896	4673	159	2896	3017	5183	35502	3497	2896	2896	2896	65	2897	2896	2896	2896	4526	18010	2896	2897	2896	2896	64	5254	2896	3496	2928	2896	2896	7627	3493	3488	2896	5181	2896	2896	3029	4524	35591	2928	2897	2896	3492	2928	2896	2896	2896	3481	2897	4664	2896	132	3026	2896	2896	132	3497
ERR1414016	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414095	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414040	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414027	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024903	4969	6087	5287	5287	5313	5133	5002	4968	4968	4968	5802	4968	4968	5575	4968	4968	4968	4968	0	4968	4969	4968	4968	5998	37038	5041	4968	4968	5738	5694	20609	5656	4968	5287	4970	4968	5293	6073	5315	6075	4969	4968	4968	4968	5000	4968	6066	5296	4998	4968	4968	5294	4854	4969	1734	4968	4968	6070	4968	1175	4968	4996	4968	4968	4968	4968	5001	6006	5001	4968	4968	5580	4968	5804	4968	5579	4968	5588	4999	4968	4969	4983	5000	5000	4968	4976	4968	4968	4968	4968	6073	4968	5307	4968	5279	8978	4968	4969	5562	5314	4968	4968	4968	4968	5990	5584	4968	5303	6068	35925	5294	4968	4968	4968	5576	4969	4968	4968	4968	5697	17985	4968	4969	4968	4968	5575	4293	4968	5295	5000	4968	4968	6199	5290	5285	4968	6066	4968	4968	5315	5695	36004	5000	4969	4968	5289	5000	4968	4968	4968	5278	4969	5981	4968	5557	5312	4968	4968	5557	5296
ERR1414007	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414050	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	0	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	2	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	2	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	2	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	2	1	3660	39	1	1	1	3649	2	4046	1	2879	1815	1	1	2879	3665
ERR1414065	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414039	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR024923	4067	5883	4649	4649	4413	4227	4100	4066	4066	4066	5021	4066	4066	4687	4066	4066	4066	4066	5998	4066	4067	4066	4066	0	37127	4125	4066	4066	5003	4910	20985	6739	4066	4649	4068	4066	4651	5869	4415	5871	4067	4066	4066	4066	4098	4066	5862	4654	4096	4066	4066	4652	6209	4067	6171	4066	4066	5866	4066	6044	4066	4094	4066	4066	4066	4066	4099	186	4099	4066	4066	4692	4066	5023	4066	4691	4066	4700	4097	4066	4067	4081	4098	4098	4066	6940	4066	4066	4066	4066	5871	4066	4408	4066	4643	10082	4066	4067	4674	4414	4066	4066	4066	4066	170	4696	4066	4403	5864	36045	4656	4066	4066	4066	4686	4067	4066	4066	4066	4913	18616	4066	4067	4066	4066	4687	5707	4066	4653	4098	4066	4066	8045	4652	4647	4066	5862	4066	4066	4415	4911	36140	4098	4067	4066	4651	4098	4066	4066	4066	4640	4067	161	4066	4669	4412	4066	4066	4669	4654
ERR024904	35217	37713	36895	36895	36006	35604	35247	35216	35216	35216	37008	35216	35216	36567	35216	35216	35216	35216	37038	35216	35217	35216	35216	37127	0	35396	35216	35216	36945	36977	40789	35926	35216	36895	35218	35216	36894	37697	36008	37701	35217	35216	35216	35216	35245	35216	37692	36897	35243	35216	35216	36895	36794	35217	36929	35216	35216	37692	35216	37058	35216	35241	35216	35216	35216	35216	35246	37128	35246	35216	35216	36572	35216	37010	35216	36571	35216	36579	35244	35216	35217	35231	35245	35245	35216	37050	35216	35216	35216	35216	37697	35216	36001	35216	36887	38051	35216	35217	36554	36007	35216	35216	35216	35216	37116	36574	35216	35996	37694	5211	36902	35216	35216	35216	36568	35217	35216	35216	35216	36980	39967	35216	35217	35216	35216	36567	37060	35216	36896	35245	35216	35216	37199	36898	36893	35216	37692	35216	35216	36008	36978	5028	35245	35217	35216	36897	35245	35216	35216	35216	36883	35217	37107	35216	36547	36005	35216	35216	36549	36897
ERR028208	419	4773	3583	3583	1981	782	452	418	418	418	4075	418	418	2701	418	418	418	418	5041	418	419	418	418	4125	35396	0	418	418	4053	3976	19539	5634	418	3583	420	418	3587	4759	1983	4761	419	418	418	418	450	418	4752	3590	448	418	418	3588	5206	419	5190	418	418	4756	418	5115	418	446	418	418	418	418	451	4129	451	418	418	2706	418	4077	418	2705	418	2714	449	418	419	433	450	450	418	5943	418	418	418	418	4761	418	1976	418	3577	8959	418	419	2688	1982	418	418	418	418	4113	2710	418	1971	4754	34347	3590	418	418	418	2702	419	418	418	418	3979	17255	418	419	418	418	2701	4690	418	3589	450	418	418	7046	3586	3581	418	4752	418	418	1983	3977	34459	450	419	418	3585	450	418	418	418	3574	419	4104	418	2683	1980	418	418	2683	3590
ERR1414035	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414033	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
